IRIS,REG,DEP,UU2010,COM,LIBCOM,TRIRIS,GRD_QUART,LIBIRIS,TYP_IRIS,MODIF_IRIS,LAB_IRIS,P10_POP0205,P10_POP0610,P10_POP1114,P10_POP1517,P10_POP1824,P10_POP2529,P10_POP30P,P10_SCOL0205,P10_SCOL0610,P10_SCOL1114,P10_SCOL1517,P10_SCOL1824,P10_SCOL2529,P10_SCOL30P,P10_NSCOL15P,P10_NSCOL15P_DIPL0,P10_NSCOL15P_CEP,P10_NSCOL15P_BEPC,P10_NSCOL15P_CAPBEP,P10_NSCOL15P_BAC,P10_NSCOL15P_BACP2,P10_NSCOL15P_SUP,P10_HNSCOL15P,P10_HNSCOL15P_DIPL0,P10_HNSCOL15P_CEP,P10_HNSCOL15P_BEPC,P10_HNSCOL15P_CAPBEP,P10_HNSCOL15P_BAC,P10_HNSCOL15P_BACP2,P10_HNSCOL15P_SUP,P10_FNSCOL15P,P10_FNSCOL15P_DIPL0,P10_FNSCOL15P_CEP,P10_FNSCOL15P_BEPC,P10_FNSCOL15P_CAPBEP,P10_FNSCOL15P_BAC,P10_FNSCOL15P_BACP2,P10_FNSCOL15P_SUP
751010101,11,75,851,75101,Paris 1er Arrondissement,750011,7510101,Saint-Germain l'Auxerrois 1,H,0,1,14,46,26,30,65,129,553,8,46,23,26,53,25,22,650,62,26,30,41,63,52,377,342,27,19,10,18,30,20,219,308,35,6,20,23,33,32,158
751010102,11,75,851,75101,Paris 1er Arrondissement,750011,7510101,Saint-Germain l'Auxerrois 2,A,0,3,3,9,12,2,26,5,164,3,9,12,2,12,1,7,175,38,15,21,3,24,11,64,92,26,9,8,0,9,6,33,84,12,6,12,3,15,5,31
751010103,11,75,851,75101,Paris 1er Arrondissement,750011,7510101,Saint-Germain l'Auxerrois 3,A,0,3,6,9,20,10,53,26,317,3,9,20,10,50,10,14,323,10,3,6,14,48,57,185,175,7,3,1,11,30,16,106,148,3,0,5,3,19,41,79
751010104,11,75,851,75101,Paris 1er Arrondissement,750011,7510101,Saint-Germain l'Auxerrois 4,A,0,3,0,0,0,0,1,3,8,0,0,0,0,0,1,0,10,1,0,0,0,1,2,7,6,1,0,0,0,0,0,5,5,0,0,0,0,1,2,2
751010105,11,75,851,75101,Paris 1er Arrondissement,750011,7510101,Tuileries,D,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751010199,11,75,851,75101,Paris 1er Arrondissement,750011,7510101,Seine et Berges,D,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751010201,11,75,851,75101,Paris 1er Arrondissement,750021,7510102,Les Halles 1,H,0,1,81,55,43,43,263,310,1550,62,55,43,39,175,53,48,1851,120,111,73,131,294,197,925,1057,70,53,29,85,168,90,562,794,51,58,43,46,126,107,363
751010202,11,75,851,75101,Paris 1er Arrondissement,750021,7510102,Les Halles 2,H,0,1,66,49,31,31,162,243,1178,47,49,31,28,106,12,30,1438,135,44,25,112,179,104,838,757,53,25,4,59,85,63,468,681,82,19,21,53,94,41,371
751010203,11,75,851,75101,Paris 1er Arrondissement,750021,7510102,Les Halles 3,H,0,1,73,124,40,48,175,264,1578,57,124,40,47,120,42,35,1820,107,77,87,99,242,193,1015,890,52,23,26,64,95,102,528,930,55,54,61,35,147,92,487
751010204,11,75,851,75101,Paris 1er Arrondissement,750021,7510102,Les Halles 4,H,0,2,103,78,82,69,298,317,1491,62,78,82,65,179,37,41,1853,123,42,55,170,279,208,975,1033,49,13,27,123,160,97,564,820,74,29,28,47,119,111,411
751010205,11,75,851,75101,Paris 1er Arrondissement,750021,7510102,Les Halles 5,A,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751010206,11,75,851,75101,Paris 1er Arrondissement,750021,7510102,Les Halles 6,A,0,3,29,20,5,19,47,63,389,14,19,5,19,38,10,9,442,64,9,37,21,64,45,203,218,42,3,8,17,32,17,100,223,23,6,29,4,32,28,103
751010301,11,75,851,75101,Paris 1er Arrondissement,750011,7510103,Palais Royal 1,H,0,1,97,64,55,50,358,243,1858,66,64,55,50,247,31,60,2121,195,67,69,95,318,258,1119,1030,70,21,21,69,144,99,605,1090,124,46,48,25,174,159,514
751010302,11,75,851,75101,Paris 1er Arrondissement,750011,7510103,Palais Royal 2,A,0,3,7,7,0,0,16,8,101,7,7,0,0,16,5,3,100,11,3,3,5,23,7,48,42,0,0,3,3,6,0,31,58,11,3,0,3,17,7,18
751010303,11,75,851,75101,Paris 1er Arrondissement,750011,7510103,Palais Royal 3,A,0,3,7,22,18,5,23,26,240,7,22,18,5,17,8,4,260,43,3,19,12,40,18,125,114,16,3,10,5,3,8,69,147,28,0,9,7,37,9,56
751010401,11,75,851,75101,Paris 1er Arrondissement,750011,7510104,Place Vendome 1,H,0,1,48,85,52,25,129,140,914,33,85,52,25,86,16,13,1067,96,52,37,37,198,110,536,521,35,22,16,20,99,55,273,546,61,30,21,17,99,55,263
751010402,11,75,851,75101,Paris 1er Arrondissement,750011,7510104,Place Vendome 2,A,0,2,39,41,39,48,162,174,935,39,40,39,48,120,27,24,1100,88,30,29,67,149,145,592,550,44,16,16,44,65,58,306,550,44,14,13,23,84,86,286
751020501,11,75,851,75102,Paris 2e Arrondissement,750031,7510205,Gaillon 1,A,0,3,31,39,22,45,168,120,645,14,38,22,45,90,28,6,808,108,38,32,67,150,71,342,397,50,9,17,37,85,32,166,411,58,29,15,29,65,40,175
751020502,11,75,851,75102,Paris 2e Arrondissement,750031,7510205,Gaillon 2,A,0,3,0,7,0,3,20,21,167,0,7,0,3,9,7,0,191,26,17,19,18,20,25,66,100,7,10,8,8,12,12,42,92,19,7,12,10,8,13,23
751020503,11,75,851,75102,Paris 2e Arrondissement,750031,7510205,Gaillon 3,A,0,3,3,6,3,7,21,9,127,3,6,3,7,21,3,0,133,23,0,3,9,16,3,80,73,10,0,0,6,6,3,48,61,13,0,3,3,9,0,32
751020601,11,75,851,75102,Paris 2e Arrondissement,750031,7510206,Vivienne 1,H,0,1,83,123,81,39,169,194,1106,51,119,78,36,131,29,21,1292,63,31,43,78,182,145,749,658,36,14,12,55,82,61,398,633,27,17,31,23,100,85,351
751020602,11,75,851,75102,Paris 2e Arrondissement,750031,7510206,Vivienne 2,A,0,2,65,52,46,33,220,253,896,35,52,43,30,149,53,19,1151,76,54,53,59,152,107,650,559,33,14,29,43,61,51,326,593,43,40,23,16,91,56,323
751020701,11,75,851,75102,Paris 2e Arrondissement,750041,7510207,Mail 1,H,0,1,83,72,38,13,204,213,1360,58,72,38,13,158,42,37,1540,147,72,39,79,198,182,824,819,63,30,20,39,94,107,466,721,84,41,19,40,104,75,358
751020702,11,75,851,75102,Paris 2e Arrondissement,750041,7510207,Mail 2,H,0,1,103,87,56,29,205,321,1272,52,87,56,23,146,91,62,1506,146,31,59,116,215,145,793,747,88,8,25,76,80,48,421,759,58,23,34,40,135,97,372
751020703,11,75,851,75102,Paris 2e Arrondissement,750041,7510207,Mail 3,H,0,1,114,127,58,31,237,363,1279,84,121,58,28,167,68,39,1609,170,54,43,106,226,191,819,899,73,31,31,55,126,105,477,710,97,22,12,51,101,85,342
751020704,11,75,851,75102,Paris 2e Arrondissement,750031,7510207,Mail 4,A,0,3,25,20,9,8,53,79,351,18,20,9,8,22,11,18,432,25,12,14,30,44,34,273,231,16,8,10,15,22,16,145,200,9,4,4,15,21,18,129
751020801,11,75,851,75102,Paris 2e Arrondissement,750051,7510208,Bonne Nouvelle 1,H,0,1,85,97,55,91,281,295,1522,66,94,55,91,172,38,47,1842,321,55,85,73,286,177,844,1041,166,31,38,56,155,102,492,800,156,24,47,17,130,75,352
751020802,11,75,851,75102,Paris 2e Arrondissement,750051,7510208,Bonne Nouvelle 2,H,0,1,43,53,34,18,186,256,1141,37,50,34,15,128,58,43,1357,99,35,65,37,213,178,731,718,44,8,40,27,94,81,424,639,55,26,25,10,119,98,307
751020803,11,75,851,75102,Paris 2e Arrondissement,750051,7510208,Bonne Nouvelle 3,H,0,1,60,89,37,25,217,222,1298,52,86,36,25,176,31,27,1503,235,56,34,71,181,156,769,870,156,26,24,33,110,100,421,633,80,30,10,38,71,56,348
751020804,11,75,851,75102,Paris 2e Arrondissement,750051,7510208,Bonne Nouvelle 4,H,0,1,59,77,39,43,334,407,1268,44,77,36,43,198,35,35,1741,395,29,26,82,178,190,841,931,191,7,18,44,101,113,458,810,205,22,9,38,77,77,383
751020805,11,75,851,75102,Paris 2e Arrondissement,750051,7510208,Bonne Nouvelle 5,H,0,1,141,79,64,40,272,377,1560,80,79,64,40,223,103,72,1812,276,95,60,117,205,157,902,1014,154,22,35,60,117,73,553,798,122,73,25,57,88,84,349
751030901,11,75,851,75103,Paris 3e Arrondissement,750061,7510309,Arts et Metiers 1,H,0,1,66,88,64,40,212,243,1116,39,85,64,40,157,28,44,1341,191,44,40,72,170,134,689,674,90,10,23,38,108,63,343,667,101,34,17,34,63,71,347
751030902,11,75,851,75103,Paris 3e Arrondissement,750061,7510309,Arts et Metiers 2,H,0,1,62,59,40,20,227,383,1215,45,59,40,20,157,70,35,1563,182,34,49,75,157,208,858,800,97,14,17,36,81,126,429,763,85,20,32,39,76,82,428
751030903,11,75,851,75103,Paris 3e Arrondissement,750061,7510309,Arts et Metiers 3,H,0,2,67,100,67,24,150,276,1237,47,100,67,24,111,41,38,1473,120,61,36,104,201,176,776,727,51,19,13,51,103,82,408,746,69,42,24,52,97,93,368
751030904,11,75,851,75103,Paris 3e Arrondissement,750061,7510309,Arts et Metiers 4,H,0,2,59,78,51,49,197,318,1271,32,75,51,49,134,41,62,1549,261,53,36,79,184,163,773,810,122,19,6,40,102,79,443,739,139,34,30,39,83,84,330
751030905,11,75,851,75103,Paris 3e Arrondissement,750061,7510309,Arts et Metiers 5,H,0,2,50,47,28,32,224,157,1087,27,44,28,26,159,24,39,1252,196,37,60,95,153,140,571,663,95,13,31,56,80,79,309,589,101,24,29,40,72,61,262
751031001,11,75,851,75103,Paris 3e Arrondissement,750071,7510310,Enfants Rouges 1,H,0,1,105,100,68,53,229,308,1376,66,100,68,46,161,52,45,1662,251,38,88,88,216,202,779,818,112,10,34,46,110,114,392,844,139,28,54,41,106,88,387
751031002,11,75,851,75103,Paris 3e Arrondissement,750071,7510310,Enfants Rouges 2,H,0,1,104,85,53,35,298,219,1502,72,85,53,35,222,25,48,1724,128,62,64,95,253,170,951,861,45,28,22,50,148,76,490,863,83,34,42,45,105,94,461
751031003,11,75,851,75103,Paris 3e Arrondissement,750071,7510310,Enfants Rouges 3,H,0,1,78,79,53,35,277,349,1658,54,76,53,32,181,55,43,2008,90,97,48,81,254,244,1193,1020,53,30,22,43,163,75,634,988,37,67,26,38,92,169,559
751031004,11,75,851,75103,Paris 3e Arrondissement,750071,7510310,Enfants Rouges 4,H,0,1,78,95,62,43,247,284,1431,60,95,62,43,165,42,45,1710,141,72,48,80,193,201,975,939,54,36,18,45,106,130,551,770,87,36,30,36,87,71,424
751031101,11,75,851,75103,Paris 3e Arrondissement,750081,7510311,Les Archives 1,H,0,1,89,107,74,44,149,209,1405,73,107,74,44,119,31,43,1571,116,50,68,71,225,199,843,755,57,25,24,44,100,39,467,816,59,25,45,27,125,160,376
751031102,11,75,851,75103,Paris 3e Arrondissement,750081,7510311,Les Archives 2,H,0,2,57,48,58,31,226,177,1110,40,48,58,31,169,26,30,1289,66,23,40,63,187,141,769,619,32,4,22,37,70,42,412,670,34,20,18,25,117,98,357
751031103,11,75,851,75103,Paris 3e Arrondissement,750081,7510311,Les Archives 3,H,0,1,49,31,56,53,149,143,1151,29,31,56,53,107,30,49,1256,111,26,53,54,200,124,688,611,51,7,13,31,93,43,371,644,60,18,39,23,107,80,317
751031104,11,75,851,75103,Paris 3e Arrondissement,750081,7510311,Les Archives 4,H,0,1,112,133,95,45,240,293,1950,84,133,95,45,190,50,48,2196,151,62,68,94,272,293,1255,1085,71,17,33,55,161,158,590,1111,80,46,35,39,112,135,665
751031201,11,75,851,75103,Paris 3e Arrondissement,750091,7510312,Sainte-Avoye 1,H,0,1,57,79,49,28,244,373,1115,42,79,49,28,146,67,33,1486,122,42,57,70,146,197,852,797,55,19,29,43,73,118,461,689,68,23,28,27,73,79,391
751031202,11,75,851,75103,Paris 3e Arrondissement,750091,7510312,Sainte-Avoye 2,H,0,1,70,84,37,41,189,202,1337,48,84,37,41,117,25,29,1556,139,51,34,71,235,180,845,821,71,18,8,50,115,74,483,735,68,33,26,22,119,106,362
751031203,11,75,851,75103,Paris 3e Arrondissement,750091,7510312,Sainte-Avoye 3,H,0,1,70,46,51,45,171,236,1312,50,44,51,45,116,36,22,1544,152,110,88,153,288,184,569,764,100,32,30,74,122,59,348,780,52,78,58,79,166,125,222
751031204,11,75,851,75103,Paris 3e Arrondissement,750091,7510312,Sainte-Avoye 4,H,0,1,87,91,41,50,229,250,1317,62,88,41,50,158,59,31,1548,208,42,87,54,195,154,809,819,77,7,31,41,116,91,455,729,131,34,55,12,79,63,354
751041301,11,75,851,75104,Paris 4e Arrondissement,750131,7510413,Saint-Merri 1,H,0,2,45,97,62,22,223,244,1055,33,92,62,22,146,48,60,1268,117,48,40,68,197,99,699,605,50,11,15,43,103,29,353,663,67,37,25,24,94,70,346
751041302,11,75,851,75104,Paris 4e Arrondissement,750131,7510413,Saint-Merri 2,H,0,1,76,117,57,48,262,228,1526,62,117,57,42,174,32,31,1785,141,39,108,107,239,186,966,1015,73,25,55,67,124,105,565,770,68,14,53,39,115,81,401
751041303,11,75,851,75104,Paris 4e Arrondissement,750131,7510413,Saint-Merri 3,H,0,2,32,31,45,37,222,234,1084,26,31,45,37,153,43,24,1319,114,57,54,100,192,130,672,685,47,30,17,49,86,78,379,634,67,28,37,51,106,52,294
751041304,11,75,851,75104,Paris 4e Arrondissement,750121,7510413,Saint-Merri 4,A,0,3,3,6,15,6,54,57,206,3,6,15,6,33,0,0,283,38,3,12,24,33,25,149,152,15,0,0,21,12,7,98,132,24,3,12,3,21,18,52
751041305,11,75,851,75104,Paris 4e Arrondissement,750131,7510413,Saint-Merri 5,A,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751041399,11,75,851,75104,Paris 4e Arrondissement,750121,7510413,Seine et Berges,D,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751041401,11,75,851,75104,Paris 4e Arrondissement,750101,7510414,Saint-Gervais 1,H,0,1,56,99,107,96,393,352,2120,46,95,107,91,281,78,48,2463,265,101,117,231,349,356,1043,1097,108,25,42,133,137,143,509,1366,157,76,75,99,212,214,533
751041402,11,75,851,75104,Paris 4e Arrondissement,750101,7510414,Saint-Gervais 2,H,0,1,57,51,20,26,263,309,1258,46,51,20,26,185,33,41,1571,125,29,75,94,218,223,807,803,65,17,18,36,109,105,453,768,60,12,57,58,109,119,353
751041403,11,75,851,75104,Paris 4e Arrondissement,750101,7510414,Saint-Gervais 3,H,0,1,67,107,49,63,262,322,1625,46,107,49,63,200,54,32,1921,144,77,51,117,283,266,984,961,66,25,22,61,143,144,499,960,78,52,29,56,139,122,484
751041404,11,75,851,75104,Paris 4e Arrondissement,750101,7510414,Saint-Gervais 4,H,0,1,38,48,36,48,204,253,1093,28,48,36,48,142,67,35,1305,112,50,35,69,163,181,694,607,45,13,9,32,81,87,340,699,66,37,26,38,82,94,355
751041499,11,75,851,75104,Paris 4e Arrondissement,750101,7510414,Seine et Berges,D,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751041501,11,75,851,75104,Paris 4e Arrondissement,750111,7510415,Arsenal 1,H,0,1,177,196,140,106,326,285,1933,130,189,137,106,226,43,43,2231,214,110,132,162,368,244,1001,1092,90,38,65,92,163,100,544,1140,125,72,66,70,205,144,457
751041502,11,75,851,75104,Paris 4e Arrondissement,750111,7510415,Arsenal 2,H,0,1,47,44,40,47,183,163,1061,31,44,37,47,147,35,40,1185,84,23,30,61,146,170,669,589,36,11,13,30,60,71,369,596,48,12,18,31,86,100,301
751041503,11,75,851,75104,Paris 4e Arrondissement,750111,7510415,Arsenal 3,H,0,1,58,102,78,41,166,199,1187,33,97,75,41,131,34,15,1373,70,32,58,67,183,168,795,663,29,3,17,31,92,57,434,710,41,30,42,36,91,110,361
751041504,11,75,851,75104,Paris 4e Arrondissement,750111,7510415,Arsenal 4,H,0,1,50,75,49,22,225,245,1348,36,75,49,22,165,35,18,1600,121,49,76,106,199,243,806,731,34,12,33,46,100,103,403,868,87,37,43,60,99,139,403
751041588,11,75,851,75104,Paris 4e Arrondissement,750111,7510415,Bassin de l'Arsenal,D,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751041599,11,75,851,75104,Paris 4e Arrondissement,750111,7510415,Seine et Berges,D,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751041601,11,75,851,75104,Paris 4e Arrondissement,750121,7510416,Notre Dame 1,H,0,1,70,76,51,25,372,242,1731,42,70,51,25,291,44,45,1964,174,48,34,82,288,189,1148,907,79,19,10,46,150,65,539,1057,96,30,24,36,139,124,609
751041602,11,75,851,75104,Paris 4e Arrondissement,750121,7510416,Notre Dame 2,H,0,2,17,7,17,5,80,72,546,12,7,17,5,54,21,20,603,70,22,24,24,70,46,346,310,27,10,10,10,34,22,198,293,44,12,15,15,36,24,148
751041603,11,75,851,75104,Paris 4e Arrondissement,750121,7510416,Notre Dame 3,A,0,3,3,2,4,3,14,5,37,0,2,4,3,7,1,0,48,1,3,2,8,11,6,17,19,0,3,1,5,4,1,5,29,1,0,1,3,7,5,12
751041699,11,75,851,75104,Paris 4e Arrondissement,750121,7510416,Seine et Berges,D,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751051701,11,75,851,75105,Paris 5e Arrondissement,750151,7510517,Saint-Victor 1,H,0,1,57,105,77,52,369,298,1213,44,99,74,52,280,75,43,1481,57,92,45,61,148,174,904,686,26,32,17,36,58,60,457,795,31,60,28,25,90,114,447
751051702,11,75,851,75105,Paris 5e Arrondissement,750151,7510517,Saint-Victor 2,H,0,1,44,77,64,60,243,159,1155,34,77,64,60,193,53,36,1276,61,6,33,38,166,199,773,566,39,0,10,18,57,91,351,709,22,6,23,20,108,108,422
