siret,siren,denominationUniteLegale,localisation,trancheEffectifsEtablissement,libelleActivitePrincipaleUniteLegale,libelleSectionActivitePrincipaleUniteLegale,CA,latitude,longitude,trancheEffectifsEtablissementNum
30057104901578,300571049,PETIT FORESTIER LOCATION,Aéroparc,12,Location et location-bail de camions,Activités de services administratifs et de soutien,E + d 1M,48.539349,7.648691,35
30096101800342,300961018,DSV AIR & SEA SAS,Village-ENTZHEIM,11,Affrètement et organisation des transports,Transports et entreposage,E + d 1M,48.532338,7.634231,15
30247406900044,302474069,SARL GEMU,Plaine de la Bruche,12,Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers,Commerce ; réparation d'automobiles et de motocycles,Inconnu,48.540631,7.587265,35
30485079500051,304850795,APPLIC SCE ETUDES INGENIERIES INFORMATIQ,Aéroparc,12,Conseil en systèmes et logiciels informatiques,Information et communication,A - de 32K,48.546799,7.654145,35
30506298600024,305062986,ETABLISSEMENTS ROBERT GEISTEL,Plaine de la Bruche,12,Travaux de menuiserie métallique et serrurerie,Construction,E + d 1M,48.540608,7.573785,35
30523185400152,305231854,SPIE BATIGNOLLES EST,Aéroparc,12,Construction d'autres bâtiments,Construction,E + d 1M,48.542684,7.649265,35
30582122500052,305821225,DIFAC,Aéroparc,12,Commerce de gros (commerce interentreprises) d'habillement et de chaussures,Commerce ; réparation d'automobiles et de motocycles,E + d 1M,48.54349,7.65139,35
30637161800019,306371618,DEBIT DE VINS RESTAURANT STEINKELLER,Village-ENTZHEIM,12,Hôtels et hébergement similaire,Hébergement et restauration,Inconnu,48.532171,7.635021,35
30897323900244,308973239,SECURITAS TRANSPORT AVIATION SECURITY SAS,Aéroport/Hangenbieten,21,Activités de sécurité privée,Activités de services administratifs et de soutien,E + d 1M,48.54601,7.62522,75
30905428600039,309054286,M H D,Joffre,12,Travaux de peinture et vitrerie,Construction,E + d 1M,48.563715,7.652887,35
31064351500060,310643515,XPO SUPPLY CHAIN FROID FRANCE,Plaine de la Bruche,12,Manutention non portuaire,Transports et entreposage,E + d 1M,48.541804,7.58265,35
31064351500128,310643515,XPO SUPPLY CHAIN FROID FRANCE,Plaine de la Bruche,11,Manutention non portuaire,Transports et entreposage,E + d 1M,48.540478,7.584131,15
31064351500169,310643515,XPO SUPPLY CHAIN FROID FRANCE,Plaine de la Bruche,11,Manutention non portuaire,Transports et entreposage,E + d 1M,48.543146,7.571442,15
31364266200016,313642662,SOCIETE RGR,Aéroport/Hangenbieten,12,Fabrication d'équipements aérauliques et frigorifiques industriels,Industrie manufacturière,Inconnu,48.54601,7.62522,35
31454842100028,314548421,LEVY GUY SARL,Joffre,11,Commerce de gros (commerce interentreprises) de viandes de boucherie,Commerce ; réparation d'automobiles et de motocycles,Inconnu,48.557885,7.654292,15
31571121800158,315711218,ROHLIG FRANCE SAS,Village-ENTZHEIM,11,Affrètement et organisation des transports,Transports et entreposage,E + d 1M,48.533251,7.635128,15
31817503100018,318175031,RUSTYLE,Plaine de la Bruche,11,Fabrication de charpentes et d'autres menuiseries,Industrie manufacturière,E + d 1M,48.542849,7.569614,15
31983466900099,319834669,ATES - APPLICATIONS TECHNIQUES DU STORE,Aéroparc,12,Fabrication de portes et fenêtres en métal,Industrie manufacturière,E + d 1M,48.545442,7.655329,35
32060676700020,320606767,ENTREPRISE STELL & BONTZ,Aéroport/Hangenbieten,21,Travaux de maçonnerie générale et gros œuvre de bâtiment,Construction,E + d 1M,48.552583,7.615238,75
32081388400071,320813884,TERTIA SOLUTIONS,Aéroparc,12,Commerce de gros (commerce interentreprises) de mobilier de bureau,Commerce ; réparation d'automobiles et de motocycles,E + d 1M,48.545442,7.655329,35
32165800700026,321658007,BIK ARCHITECTURE GRAND EST,Aéroport/Hangenbieten,11,Activités d'architecture,"Activités spécialisées, scientifiques et techniques",E + d 1M,48.54601,7.62522,15
32237673200028,322376732,SCHAFFNER SA,Village-DUPPIGHEIM,12,Travaux de menuiserie métallique et serrurerie,Construction,E + d 1M,48.530747,7.598792,35
32286696300133,322866963,ASSOCIATION ROUTE NOUVELLE ALSACE,Joffre,12,Hébergement social pour handicapés mentaux et malades mentaux,Santé humaine et action sociale,Inconnu,48.560993,7.646278,35
32343835800059,323438358,TENNISPRO DISTRIBUTION,Aéroparc,21,Vente à distance sur catalogue spécialisé,Commerce ; réparation d'automobiles et de motocycles,E + d 1M,48.541465,7.649237,75
32404524400021,324045244,FROID GILBERT,Plaine de la Bruche,11,Installation de machines et équipements mécaniques,Industrie manufacturière,Inconnu,48.539525,7.569493,15
